xi,plan,V_pen,J_ac,feasible_dc,ac_ok
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(141),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(S2:15); open(S2:16); open(S2:17),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(S2:15); open(S1:34); open(S3:70),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(S6:136); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(118); open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S6:135); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S7:149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(S7:150); open(S8:160); open(S1:34),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(S3:74); open(S5:120); open(S1:34),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(S4:96); open(S7:150); open(S1:34),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(34); open(15); open(70),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(34); open(35); open(40),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(41); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(105); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:136),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:135),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(141),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(131),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(S9:5); open(S9:6); open(S9:7),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(S6:135); open(S6:136); open(S6:137),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(S7:149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(S6:135),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(149),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(S1:41); open(128); open(S6:136),,,0,0
