scenario_idx,K,J_baseline,J_mip,J_best,abs_gap,rel_gap_pct,improve_vs_baseline_pct
0,1,1963.6337833408559,1604.8264497898704,1959.5220409263388,354.69559113646847,22.101803667487587,0.2093945647808864
0,4,1963.6337833408559,1604.8264497898704,1961.4653293705942,356.6388795807238,22.222893922730442,0.11043067137357714
0,8,1963.6337833408559,1604.8264497898704,1821.642337451159,216.81588766128857,13.51023892269956,7.2310553573853165
0,12,1963.6337833408559,1604.8264497898704,1813.9782611497358,209.1518113598654,13.03267474107564,7.62135605227272
0,16,1963.6337833408559,1604.8264497898704,1821.642337451159,216.81588766128857,13.51023892269956,7.2310553573853165
1,1,1870.7597090929235,1621.828113548875,1731.4993426320027,109.67122908312763,6.762198050886272,7.444054187399835
1,4,1870.7597090929235,1621.828113548875,1732.0135920744485,110.18547852557344,6.793906062243933,7.416565384859013
1,8,1870.7597090929235,1621.828113548875,1732.0716010104647,110.24348746158967,6.797482824511871,7.413464562464012
1,12,1870.7597090929235,1621.828113548875,1699.8717210313291,78.04360748245404,4.812076374214494,9.13468401264922
1,16,1870.7597090929235,1621.828113548875,1732.0992459138688,110.27113236499372,6.799187376503115,7.411986825731192
2,1,1998.5028937238412,1656.0625714911853,1998.5028937238412,342.44032223265594,20.67798210814637,0.0
2,4,1998.5028937238412,1656.0625714911853,1850.506454008533,194.44388251734767,11.741336702167152,7.405365295195756
2,8,1998.5028937238412,1656.0625714911853,1973.7411832263558,317.67861173517053,19.182766231418416,1.2390129919375064
2,12,1998.5028937238412,1656.0625714911853,1825.7811992802053,169.71862778902005,10.248322177597345,8.642554133199223
2,16,1998.5028937238412,1656.0625714911853,1847.7678844442028,191.70531295301748,11.575970392253858,7.542396348437185
3,1,2294.752716781626,1814.6985461720176,2294.650554287795,479.9520081157773,26.44802957098319,0.00445200448327538
3,4,2294.752716781626,1814.6985461720176,2290.107320711731,475.4087745397135,26.19767208953552,0.20243558427550956
3,8,2294.752716781626,1814.6985461720176,2150.538971848596,335.8404256765782,18.50667849957838,6.284500455251187
3,12,2294.752716781626,1814.6985461720176,2111.0273476517114,296.32880147969377,16.32936787791995,8.006325378169208
3,16,2294.752716781626,1814.6985461720176,2110.591234494588,295.8926883225706,16.30533561327505,8.025330177855635
4,1,2105.624106111813,1915.4276919269464,2093.417428732473,177.98973680552672,9.292427876850136,0.579717782671116
4,4,2105.624106111813,1915.4276919269464,1948.3368153215035,32.90912339455713,1.7181083646885202,7.469865601071211
4,8,2105.624106111813,1915.4276919269464,2100.3264531877785,184.8987612608321,9.65313188485969,0.2515953777627022
4,12,2105.624106111813,1915.4276919269464,1979.195238329026,63.76754640207969,3.3291544583407724,6.004341772865005
4,16,2105.624106111813,1915.4276919269464,1944.6568048177442,29.22911289079775,1.5259836230827835,7.644636135521198
